year,Region name,Population in poverty (billions),Proportion of the population in poverty,poverty line (2017 PPP)
2017,Middle East & North Africa,0.166984603368439,0.43798736700278,6.85
2018,Middle East & North Africa,0.174891051433107,0.451000457573837,6.85
2002,East Asia & Pacific,1.57741641822566,0.852797804916358,6.85
2003,East Asia & Pacific,1.55883708995718,0.835738774569338,6.85
2004,East Asia & Pacific,1.5311398886167,0.81429061325967,6.85
2005,East Asia & Pacific,1.48411664289169,0.783025571800289,6.85
2006,East Asia & Pacific,1.45654621031061,0.762598925843783,6.85
2007,East Asia & Pacific,1.405577824419,0.730510928625002,6.85
2008,East Asia & Pacific,1.3754086135904,0.709653729525987,6.85
2009,East Asia & Pacific,1.33211281068872,0.682399950347992,6.85
2010,East Asia & Pacific,1.25121932857255,0.636417218761035,6.85
2011,East Asia & Pacific,1.19468767760149,0.603066324905647,6.85
2012,East Asia & Pacific,1.13115140676874,0.566151198908815,6.85
2013,East Asia & Pacific,1.03172930805449,0.512059561190571,6.85
2014,East Asia & Pacific,0.961599599118387,0.473398423036919,6.85
2015,East Asia & Pacific,0.891783041496725,0.435671997129777,6.85
2016,East Asia & Pacific,0.830500385961437,0.402702646401196,6.85
2017,East Asia & Pacific,0.792223142869488,0.381232852091071,6.85
2018,East Asia & Pacific,0.729643687913593,0.348817102836994,6.85
2019,East Asia & Pacific,0.674491977331247,0.320607874232293,6.85
